"","pincode","district_key","District","Persons","Males","Females","Growth..1991...2001.","Rural","Urban","Scheduled.Caste.population","Percentage...SC.to.total","Number.of.households","Household.size..per.household.","Sex.ratio..females.per.1000.males.","Sex.ratio..0.6.years.","Scheduled.Tribe.population","Percentage.to.total.population..ST.","Persons..literate","Males..Literate","Females..Literate","Persons..literacy.rate","Males..Literatacy.Rate","Females..Literacy.Rate","Total.Educated","Data.without.level","Below.Primary","Primary","Middle","Matric.Higher.Secondary.Diploma","Graduate.and.Above","X0...4.years","X5...14.years","X15...59.years","X60.years.and.above..Incl..A.N.S..","Total.workers","Main.workers","Marginal.workers","Non.workers","SC.1.Name","SC.1.Population","SC.2.Name","SC.2.Population","SC.3.Name","SC.3.Population","Religeon.1.Name","Religeon.1.Population","Religeon.2.Name","Religeon.2.Population","Religeon.3.Name","Religeon.3.Population","ST.1.Name","ST.1.Population","ST.2.Name","ST.2.Population","ST.3.Name","ST.3.Population","Imp.Town.1.Name","Imp.Town.1.Population","Imp.Town.2.Name","Imp.Town.2.Population","Imp.Town.3.Name","Imp.Town.3.Population","Total.Inhabited.Villages","Drinking.water.facilities","Safe.Drinking.water","Electricity..Power.Supply.","Electricity..domestic.","Electricity..Agriculture.","Primary.school","Middle.schools","Secondary.Sr.Secondary.schools","College","Medical.facility","Primary.Health.Centre","Primary.Health.Sub.Centre","Post..telegraph.and.telephone.facility","Bus.services","Paved.approach.road","Mud.approach.road","Permanent.House","Semi.permanent.House","Temporary.House"
"11",504231,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"12",504109,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"13",504299,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"14",504002,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"15",504204,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"16",504312,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"17",504313,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"18",504101,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"19",504205,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"20",504203,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"21",504295,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"22",504106,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"23",504306,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"24",504304,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"25",504103,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
"26",504308,"Adilabad","District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,"19.06","1827986",NA,NA,NA,524649,5,989,962,"416511","16.74",1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,NA,154470,NA,147883,NA,73083,NA,2207843,NA,236844,NA,24392,"1.Gond etc.","200944","2.Sugalis etc.","103303","3.Kolam etc.","45437",NA,109529,NA,75254,"(M)",70381,1586,1585,1580,1585,"-","-",1521,"429","196",NA,"976","61","432",558,"814","979","544",53,39.9,7
